Name,Origin,Cylinders,Horsepower
chevrolet chevelle malibu,USA,8,130
buick skylark 320,USA,8,165
plymouth satellite,USA,8,150
amc rebel sst,USA,8,150
ford torino,USA,8,140
ford galaxie 500,USA,8,198
chevrolet impala,USA,8,220
plymouth fury iii,USA,8,215
pontiac catalina,USA,8,225
amc ambassador dpl,USA,8,190
citroen ds-21 pallas,Europe,4,115
chevrolet chevelle concours (sw),USA,8,165
ford torino (sw),USA,8,153
plymouth satellite (sw),USA,8,175
amc rebel sst (sw),USA,8,175
dodge challenger se,USA,8,170
plymouth 'cuda 340,USA,8,160
ford mustang boss 302,USA,8,140
chevrolet monte carlo,USA,8,150
buick estate wagon (sw),USA,8,225
toyota corona mark ii,Japan,4,95
plymouth duster,USA,6,95
amc hornet,USA,6,97
ford maverick,USA,6,85
datsun pl510,Japan,4,88
volkswagen 1131 deluxe sedan,Europe,4,46
peugeot 504,Europe,4,87
audi 100 ls,Europe,4,90
saab 99e,Europe,4,95
bmw 2002,Europe,4,113
amc gremlin,USA,6,90
ford f250,USA,8,215
chevy c20,USA,8,200
dodge d200,USA,8,210
hi 1200d,USA,8,193
chevrolet vega 2300,USA,4,90
toyota corona,Japan,4,95
ford pinto,USA,4,95
volkswagen super beetle 117,Europe,4,48
amc gremlin,USA,6,100
plymouth satellite custom,USA,6,105
chevrolet chevelle malibu,USA,6,100
ford torino 500,USA,6,88
amc matador,USA,6,100
chevrolet impala,USA,8,165
pontiac catalina brougham,USA,8,175
ford galaxie 500,USA,8,153
plymouth fury iii,USA,8,150
dodge monaco (sw),USA,8,180
ford country squire (sw),USA,8,170
pontiac safari (sw),USA,8,175
amc hornet sportabout (sw),USA,6,110
chevrolet vega (sw),USA,4,72
pontiac firebird,USA,6,100
ford mustang,USA,6,88
mercury capri 2000,USA,4,86
opel 1900,Europe,4,90
peugeot 304,Europe,4,70
fiat 124b,Europe,4,76
toyota corolla 1200,Japan,4,65
datsun 1200,Japan,4,69
volkswagen model 111,Europe,4,60
plymouth cricket,USA,4,70
toyota corona hardtop,Japan,4,95
dodge colt hardtop,USA,4,80
volkswagen type 3,Europe,4,54
chevrolet vega,USA,4,90
ford pinto runabout,USA,4,86
pontiac catalina,USA,8,175
amc ambassador sst,USA,8,150
mercury marquis,USA,8,208
buick lesabre custom,USA,8,155
oldsmobile delta 88 royale,USA,8,160
chrysler newport royal,USA,8,190
mazda rx2 coupe,Japan,3,97
amc matador (sw),USA,8,150
chevrolet chevelle concours (sw),USA,8,130
ford gran torino (sw),USA,8,140
plymouth satellite custom (sw),USA,8,150
volvo 145e (sw),Europe,4,112
volkswagen 411 (sw),Europe,4,76
peugeot 504 (sw),Europe,4,87
renault 12 (sw),Europe,4,69
ford pinto (sw),USA,4,86
datsun 510 (sw),Japan,4,92
toyouta corona mark ii (sw),Japan,4,97
dodge colt (sw),USA,4,80
toyota corolla 1600 (sw),Japan,4,88
buick century 350,USA,8,175
amc matador,USA,8,150
chevrolet malibu,USA,8,145
ford gran torino,USA,8,137
dodge coronet custom,USA,8,150
mercury marquis brougham,USA,8,198
chevrolet caprice classic,USA,8,150
ford ltd,USA,8,158
plymouth fury gran sedan,USA,8,150
chrysler new yorker brougham,USA,8,215
buick electra 225 custom,USA,8,225
amc ambassador brougham,USA,8,175
plymouth valiant,USA,6,105
chevrolet nova custom,USA,6,100
amc hornet,USA,6,100
ford maverick,USA,6,88
volkswagen super beetle,Europe,4,46
chevrolet impala,USA,8,150
ford country,USA,8,167
plymouth custom suburb,USA,8,170
oldsmobile vista cruiser,USA,8,180
toyota carina,Japan,4,88
chevrolet vega,USA,4,72
datsun 610,Japan,4,94
maxda rx3,Japan,3,90
ford pinto,USA,4,85
mercury capri v6,USA,6,107
fiat 124 sport coupe,Europe,4,90
chevrolet monte carlo s,USA,8,145
pontiac grand prix,USA,8,230
fiat 128,Europe,4,49
opel manta,Europe,4,75
audi 100ls,Europe,4,91
volvo 144ea,Europe,4,112
dodge dart custom,USA,8,150
saab 99le,Europe,4,110
toyota mark ii,Japan,6,122
oldsmobile omega,USA,8,180
ford maverick,USA,6,95
chevrolet nova,USA,6,100
datsun b210,Japan,4,67
ford pinto,USA,4,80
chevrolet vega,USA,4,75
chevrolet chevelle malibu classic,USA,6,100
amc matador,USA,6,110
plymouth satellite sebring,USA,6,105
ford gran torino,USA,8,140
buick century luxus (sw),USA,8,150
dodge coronet custom (sw),USA,8,150
audi fox,Europe,4,83
volkswagen dasher,Europe,4,67
opel manta,Europe,4,78
toyota corona,Japan,4,52
datsun 710,Japan,4,61
dodge colt,USA,4,75
fiat 128,Europe,4,75
fiat 124 tc,Europe,4,75
honda civic,Japan,4,97
subaru,Japan,4,93
fiat x1.9,Europe,4,67
plymouth valiant custom,USA,6,95
chevrolet nova,USA,6,105
mercury monarch,USA,6,72
ford maverick,USA,6,72
pontiac catalina,USA,8,170
chevrolet bel air,USA,8,145
plymouth grand fury,USA,8,150
ford ltd,USA,8,148
buick century,USA,6,110
chevroelt chevelle malibu,USA,6,105
plymouth fury,USA,6,95
buick skyhawk,USA,6,110
chevrolet monza 2+2,USA,8,110
ford mustang ii,USA,8,129
toyota corolla,Japan,4,75
ford pinto,USA,4,83
pontiac astro,USA,4,78
toyota corona,Japan,4,96
volkswagen dasher,Europe,4,71
datsun 710,Japan,4,97
ford pinto,USA,6,97
volkswagen rabbit,Europe,4,70
amc pacer,USA,6,90
audi 100ls,Europe,4,95
peugeot 504,Europe,4,88
volvo 244dl,Europe,4,98
saab 99le,Europe,4,115
honda civic cvcc,Japan,4,53
fiat 131,Europe,4,86
opel 1900,Europe,4,81
capri ii,USA,4,92
dodge colt,USA,4,79
renault 12tl,Europe,4,83
chevrolet chevelle malibu classic,USA,8,140
dodge coronet brougham,USA,8,150
amc matador,USA,8,120
ford gran torino,USA,8,152
plymouth valiant,USA,6,100
ford maverick,USA,6,81
amc hornet,USA,6,90
chevrolet chevette,USA,4,52
chevrolet woody,USA,4,60
vw rabbit,Europe,4,70
honda civic,Japan,4,53
dodge aspen se,USA,6,100
ford granada ghia,USA,6,78
pontiac ventura sj,USA,6,110
amc pacer d/l,USA,6,95
volkswagen rabbit,Europe,4,71
datsun b-210,Japan,4,70
ford pinto,USA,4,72
volvo 245,Europe,4,102
plymouth volare premier v8,USA,8,150
toyota mark ii,Japan,6,108
mercedes-benz 280s,Europe,6,120
cadillac seville,USA,8,180
chevy c10,USA,8,145
ford f108,USA,8,130
dodge d100,USA,8,150
honda Accelerationord cvcc,Japan,4,68
buick opel isuzu deluxe,USA,4,80
renault 5 gtl,Europe,4,58
plymouth arrow gs,USA,4,96
datsun f-10 hatchback,Japan,4,70
chevrolet caprice classic,USA,8,145
oldsmobile cutlass supreme,USA,8,110
dodge monaco brougham,USA,8,145
mercury cougar brougham,USA,8,130
chevrolet concours,USA,6,110
buick skylark,USA,6,105
plymouth volare custom,USA,6,100
ford granada,USA,6,98
pontiac grand prix lj,USA,8,180
chevrolet monte carlo landau,USA,8,170
chrysler cordoba,USA,8,190
ford thunderbird,USA,8,149
volkswagen rabbit custom,Europe,4,78
pontiac sunbird coupe,USA,4,88
toyota corolla liftback,Japan,4,75
ford mustang ii 2+2,USA,4,89
chevrolet chevette,USA,4,63
dodge colt m/m,USA,4,83
subaru dl,Japan,4,67
volkswagen dasher,Europe,4,78
datsun 810,Japan,6,97
bmw 320i,Europe,4,110
mazda rx-4,Japan,3,110
volkswagen rabbit custom diesel,Europe,4,48
ford fiesta,USA,4,66
mazda glc deluxe,Japan,4,52
datsun b210 gx,Japan,4,70
honda civic cvcc,Japan,4,60
oldsmobile cutlass salon brougham,USA,8,110
dodge diplomat,USA,8,140
mercury monarch ghia,USA,8,139
pontiac phoenix lj,USA,6,105
chevrolet malibu,USA,6,95
ford fairmont (auto),USA,6,85
